chaps_id,entry_date,weight,hip_height,frame_score,back_fat,rib_eye,marbling,stage
1,,0,0,0,0,0,0,I
2,,0,0,0,0,0,0,I
3,,0,0,0,0,0,0,I
4,,0,0,0,0,0,0,I
5,,0,0,0,0,0,0,I
6,,0,0,0,0,0,0,I
7,,0,0,0,0,0,0,I
8,,0,0,0,0,0,0,I
9,,0,0,0,0,0,0,I
10,,0,0,0,0,0,0,I
11,,0,0,0,0,0,0,I
12,,0,0,0,0,0,0,I
13,,0,0,0,0,0,0,I
14,,0,0,0,0,0,0,I
15,,0,0,0,0,0,0,I
16,,0,0,0,0,0,0,I
17,,0,0,0,0,0,0,I
18,,0,0,0,0,0,0,I
19,,0,0,0,0,0,0,I
20,,0,0,0,0,0,0,I
21,,0,0,0,0,0,0,I
22,,0,0,0,0,0,0,I
23,,0,0,0,0,0,0,I
24,,0,0,0,0,0,0,I
25,,0,0,0,0,0,0,I
26,,0,0,0,0,0,0,I
27,,0,0,0,0,0,0,I
28,,0,0,0,0,0,0,I
29,,0,0,0,0,0,0,I
30,,0,0,0,0,0,0,I
31,,0,0,0,0,0,0,I
32,,0,0,0,0,0,0,I
33,,0,0,0,0,0,0,I
34,,0,0,0,0,0,0,I
35,,0,0,0,0,0,0,I
36,,0,0,0,0,0,0,I
37,,0,0,0,0,0,0,I
38,,0,0,0,0,0,0,I
39,,0,0,0,0,0,0,I
40,,0,0,0,0,0,0,I
41,,0,0,0,0,0,0,I
42,,0,0,0,0,0,0,I
43,,0,0,0,0,0,0,I
44,,0,0,0,0,0,0,I
45,,0,0,0,0,0,0,I
46,,0,0,0,0,0,0,I
47,,0,0,0,0,0,0,I
48,,0,0,0,0,0,0,I
49,,0,0,0,0,0,0,I
50,,0,0,0,0,0,0,I
51,,0,0,0,0,0,0,I
52,,0,0,0,0,0,0,I
53,,0,0,0,0,0,0,I
54,,0,0,0,0,0,0,I
55,,0,0,0,0,0,0,I
56,,0,0,0,0,0,0,I
57,,0,0,0,0,0,0,I
58,,0,0,0,0,0,0,I
59,,0,0,0,0,0,0,I
60,,0,0,0,0,0,0,I
61,,0,0,0,0,0,0,I
62,,0,0,0,0,0,0,I
63,,0,0,0,0,0,0,I
64,,0,0,0,0,0,0,I
65,,0,0,0,0,0,0,I
66,,0,0,0,0,0,0,I
67,,0,0,0,0,0,0,I
68,,0,0,0,0,0,0,I
69,,0,0,0,0,0,0,I
70,,0,0,0,0,0,0,I
71,,0,0,0,0,0,0,I
72,,0,0,0,0,0,0,I
73,,0,0,0,0,0,0,I
74,,0,0,0,0,0,0,I
75,,0,0,0,0,0,0,I
76,,0,0,0,0,0,0,I
77,,0,0,0,0,0,0,I
78,,0,0,0,0,0,0,I
79,,0,0,0,0,0,0,I
80,,0,0,0,0,0,0,I
81,,0,0,0,0,0,0,I
82,,0,0,0,0,0,0,I
83,,0,0,0,0,0,0,I
84,,0,0,0,0,0,0,I
85,,0,0,0,0,0,0,I
86,,0,0,0,0,0,0,I
87,,0,0,0,0,0,0,I
88,,0,0,0,0,0,0,I
89,,0,0,0,0,0,0,I
90,,0,0,0,0,0,0,I
91,,0,0,0,0,0,0,I
92,,0,0,0,0,0,0,I
93,,0,0,0,0,0,0,I
94,,0,0,0,0,0,0,I
95,,0,0,0,0,0,0,I
96,,0,0,0,0,0,0,I
97,,0,0,0,0,0,0,I
98,,0,0,0,0,0,0,I
99,,0,0,0,0,0,0,I
100,,0,0,0,0,0,0,I
101,,0,0,0,0,0,0,I
102,,0,0,0,0,0,0,I
103,,0,0,0,0,0,0,I
104,,0,0,0,0,0,0,I
105,,0,0,0,0,0,0,I
106,,0,0,0,0,0,0,I
107,,0,0,0,0,0,0,I
108,,0,0,0,0,0,0,I
109,,0,0,0,0,0,0,I
